source,text,url
EIS,Личный кабинет 44-Ф3,https://zakupki.gov.ru/epz/main/public/chooseAuth44.html
EIS,Личный кабинет 223-ФЗ,https://zakupki.gov.ru/epz/main/public/chooseAuth223.html
EIS,Личный кабинет участника закупок,https://zakupki.gov.ru/auth/welcome
EIS,Закупки,http://zakupki.gov.ru/epz/order/extendedsearch/results.html
EIS,Реестр контрактов 44-ФЗ,http://zakupki.gov.ru/epz/contract/search/results.html
EIS,Реестр договоров 223-ФЗ,http://zakupki.gov.ru/epz/contractfz223/search/results.html
EIS,Реестр договоров о проведении капитального ремонта ПП РФ-615,https://zakupki.gov.ru/epz/capitalrepairs/search/results.html
EIS,Дополнительная информация о контрактах 44-ФЗ,https://zakupki.gov.ru/epz/dizk/search/results.html
EIS,"Библиотека типовых контрактов, типовых условий контрактов 44-ФЗ",http://zakupki.gov.ru/epz/btk/search/results.html
EIS,Планы-графики закупок 44-ФЗ,https://zakupki.gov.ru/epz/orderplan/search/results.html?morphology=on&search-filter=%D0%94%D0%B0%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F&structured=true&fz44=on&customerPlaceWithNested=on&actualPeriodRangeYearFrom=2020&sortBy=BY_MODIFY_DATE&pageNumber=1&sortDirection=false&recordsPerPage=_10&searchType=false
EIS,Планы закупки 223-ФЗ,http://zakupki.gov.ru/epz/orderplan/search/results.html?morphology=on&structured=true&searchType=false&fz223=on®ion_regions_5277335=region_regions_5277335®ionDeleted=false&sortBy=BY_MODIFY_DATE&pageNumber=1&sortDirection=false&recordsPerPage=_10
EIS,Обязательное общественное обсуждение закупок 44-ФЗ,https://zakupki.gov.ru/epz/oboz/search/results.html
EIS,"Запросы цен товаров, работ, услуг 44-ФЗ",http://zakupki.gov.ru/epz/pricereq/search/results.html
EIS,Правила нормирования в сфере закупок 44-ФЗ,http://zakupki.gov.ru/epz/normalizationrules/search/results.html
EIS,Положения о закупке 223-ФЗ,https://zakupki.gov.ru/epz/orderclause/search/results.html
EIS,Типовые положения о закупке 223-ФЗ,https://zakupki.gov.ru/epz/typalclause/search/results.html
EIS,Законодательство в сфере закупок,http://zakupki.gov.ru/epz/main/public/document/view.html?sectionId=1255
EIS,Нормативные правовые акты 44-ФЗ,http://zakupki.gov.ru/epz/main/public/document/view.html?sectionId=907
EIS,Нормативные правовые акты 223-ФЗ,http://zakupki.gov.ru/epz/main/public/document/view.html?sectionId=908
EIS,"Нормативно-методическая информация, предусмотренная для размещения в ЕИС",https://zakupki.gov.ru/epz/legalacts/search/results.html
EIS,Информация о привлечении участника закупки к административной ответственности по ст. 19.28 КоАП,https://zakupki.gov.ru/epz/main/public/document/view.html?searchString=§ionId=2369&strictEqual=false
EIS,Новости,http://zakupki.gov.ru/epz/main/public/news/news-search.html
EIS,НПА в сфере закупок,https://zakupki.gov.ru/epz/main/public/news/news-search.html?categoryId=3
EIS,НПА в сфере закупок,https://zakupki.gov.ru/epz/main/public/news/news-search.html?categoryId=3
EIS,Все новости,https://zakupki.gov.ru/epz/main/public/news/news-search.html
EIS,Обновление ЕИС,https://zakupki.gov.ru/epz/main/public/news/news-search.html?categoryId=1
EIS,НПА в сфере закупок,https://zakupki.gov.ru/epz/main/public/news/news-search.html?categoryId=3
EIS,Общие,https://zakupki.gov.ru/epz/main/public/news/news-search.html?categoryId=4
EIS,,https://zakupki.gov.ru/epz/main/public/download/downloadDocument.html?id=33257
EIS,,https://zakupki.gov.ru/epz/main/public/download/downloadDocument.html?id=35694
EIS,Информация для участников закупок,https://zakupki.gov.ru/epz/main/public/document/view.html?searchString=§ionId=1771&strictEqual=false
EIS,Законодательство в сфере закупок,http://zakupki.gov.ru/epz/main/public/document/view.html?sectionId=1255
EIS,Открытые данные,https://zakupki.gov.ru/epz/opendata/search/results.html
EIS,Перечень банков для открытия специальных счетов,http://zakupki.gov.ru/epz/main/public/document/view.html?searchString=§ionId=1106
EIS,"Закупки у МСП, СОНО",https://zakupki.gov.ru/epz/order/extendedsearch/results.html?&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&procurementSMPAndSONO=on
EIS,Обязательное общественное обсуждение закупок,https://zakupki.gov.ru/epz/oboz/search/results.html
EIS,Перейти к опросу,https://zakupki.gov.ru/epz/main/public/quiz/list.html
EIS,Новости,https://zakupki.gov.ru/epz/main/public/news/news-search.html
