inn,kpp,ogrn,legal_name,short_name,aliases,relation_to_sber,priority,verification_source,notes
7707083893,773601001,1027700132195,ПАО СБЕРБАНК,Сбербанк,"ПАО СБЕРБАНК|ПАО ""СБЕРБАНК РОССИИ""|ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""|СБЕРБАНК РОССИИ",parent,1,fns_egrul,Verified through FNS EGRUL public search.
7707308480,770401001,1027707000441,АО СБЕРБАНК-АСТ,Сбербанк-АСТ,"АО СБЕРБАНК-АСТ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""|СБЕРБАНК-АСТ|СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ",subsidiary_or_affiliate,2,fns_egrul,Verified through FNS EGRUL public search.
7736663049,771501001,1137746703709,ООО СБЕРБАНК-СЕРВИС,Сбербанк-Сервис,"ООО СБЕРБАНК-СЕРВИС|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""|СБЕРБАНК-СЕРВИС",subsidiary_or_affiliate,2,fns_egrul,Verified through FNS EGRUL public search.
7736264044,773601001,1167746305430,ООО СБЕРБАНК-ТЕЛЕКОМ,Сбербанк-Телеком,"ООО СБЕРБАНК-ТЕЛЕКОМ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""|СБЕРБАНК-ТЕЛЕКОМ|СБЕРМОБАЙЛ",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7707009586,503201001,1027739000728,АО СБЕРБАНК ЛИЗИНГ,СберЛизинг,"АО СБЕРБАНК ЛИЗИНГ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""|СБЕРБАНК ЛИЗИНГ|СБЕРЛИЗИНГ",subsidiary_or_affiliate,3,fns_egrul,Found through FNS EGRUL while querying Sber entities.
7802754982,771401001,1117847260794,ООО СБЕРБАНК ФАКТОРИНГ,СберФакторинг,"ООО СБЕРБАНК ФАКТОРИНГ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""|СБЕРБАНК ФАКТОРИНГ|СБЕРФАКТОРИНГ",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7706810747,773001001,1147746683479,ООО СК СБЕРБАНК СТРАХОВАНИЕ,СберСтрахование,"ООО СК СБЕРБАНК СТРАХОВАНИЕ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ""|СБЕРБАНК СТРАХОВАНИЕ|СБЕРСТРАХОВАНИЕ",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7744002123,773001001,1037700051146,ООО СК СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,СберСтрахование жизни,"ООО СК СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""|СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ|СБЕРСТРАХОВАНИЕ ЖИЗНИ",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7725352740,772501001,1147799009160,АО НПФ СБЕРБАНКА,НПФ Сбербанка,"АО НПФ СБЕРБАНКА|АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА""|НПФ СБЕРБАНКА|СБЕРНПФ",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7736322345,775101001,1197746348458,ООО СБЕРЛОГИСТИКА,СберЛогистика,"ООО СБЕРЛОГИСТИКА|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""|СБЕРЛОГИСТИКА",subsidiary_or_affiliate,3,fns_egrul,Verified through FNS EGRUL public search.
7710048970,773601001,1027739007768,АО СБЕРБАНК КИБ,Сбербанк КИБ,"АО СБЕРБАНК КИБ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК КИБ""|СБЕРБАНК КИБ",subsidiary_or_affiliate,3,fns_egrul,Found through FNS EGRUL while querying Sber entities.
7736632467,772601001,1117746533926,АО СБЕРБАНК-ТЕХНОЛОГИИ,СберТех,"АО СБЕРБАНК-ТЕХНОЛОГИИ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""|СБЕРБАНК-ТЕХНОЛОГИИ|СБЕРБАНК - ТЕХНОЛОГИИ|СБЕРТЕХ",subsidiary_or_affiliate,3,fns_egrul,Found through FNS EGRUL while querying Sber entities.
7736581290,773601001,1087746887678,ООО СБЕРБАНК КАПИТАЛ,Сбербанк Капитал,"ООО СБЕРБАНК КАПИТАЛ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""|СБЕРБАНК КАПИТАЛ",subsidiary_or_affiliate,4,fns_egrul,Found through FNS EGRUL while querying Sber entities.
7736617998,770401001,1107746399903,ООО ФИНАНСОВАЯ КОМПАНИЯ СБЕРБАНКА,ФК Сбербанка,"ООО ФИНАНСОВАЯ КОМПАНИЯ СБЕРБАНКА|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНАНСОВАЯ КОМПАНИЯ СБЕРБАНКА""|ФИНАНСОВАЯ КОМПАНИЯ СБЕРБАНКА",subsidiary_or_affiliate,4,fns_egrul,Found through FNS EGRUL while querying Sber entities.
