canonical_purchase_id,source_system,source_record_id,purchase_number,source_url,source_section,source_status,publication_date,amount_rub,match_quality
purchase:1895000000824000001,EIS,1895000000824000001,1895000000824000001,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=%D0%A1%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8&morphology=on&search-filter=%D0%94%D0%B0%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F&pageNumber=1&sortDirection=false&recordsPerPage=_50&showLotsInfoHidden=false&fz44=on&fz223=on&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,223-ФЗ,,2024-12-04,1066759667.00,customer_or_organizer_text_match
purchase:1200700144924000002,EIS,1200700144924000002,1200700144924000002,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9+%D0%B1%D1%80%D0%BE%D0%BA%D0%B5%D1%80+%D0%A1%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0&morphology=on&search-filter=%D0%94%D0%B0%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F&pageNumber=1&sortDirection=false&recordsPerPage=_50&showLotsInfoHidden=false&fz44=on&fz223=on&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,44-ФЗ,,2024-11-28,1199767.67,customer_or_organizer_text_match
purchase:1200700144924000001,EIS,1200700144924000001,1200700144924000001,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9+%D0%B1%D1%80%D0%BE%D0%BA%D0%B5%D1%80+%D0%A1%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0&morphology=on&search-filter=%D0%94%D0%B0%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F&pageNumber=1&sortDirection=false&recordsPerPage=_50&showLotsInfoHidden=false&fz44=on&fz223=on&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,44-ФЗ,Подача заявок,2024-11-27,1199767.67,customer_or_organizer_text_match
purchase:88830046,Sberbank-AST,88830046,88830046,https://sberb2b.ru/request/supplier/preview/a966f02c-0c63-4f15-b60d-c039b3bd51db,SberB2B,Подача заявок,2025-12-30,9876.00,strict
purchase:60010033,Sberbank-AST,60010033,60010033,https://sberb2b.ru/request/supplier/preview/3ff0a0e0-c0f8-4622-9064-0e2bdc08aa34,SberB2B,Подача заявок,2025-12-30,6900.00,strict
purchase:53266154,Sberbank-AST,53266154,53266154,https://sberb2b.ru/request/supplier/preview/438cb54c-a46c-42ad-9f38-41922e562f89,SberB2B,Подача заявок,2025-12-29,497701.19,strict
purchase:21389319,Sberbank-AST,21389319,21389319,https://sberb2b.ru/request/supplier/preview/382f61fb-e3ff-4c34-8f45-cf507021b9cd,SberB2B,Завершено,2025-12-28,499500.00,strict
purchase:57759118,Sberbank-AST,57759118,57759118,https://sberb2b.ru/request/supplier/preview/0178e53e-41eb-4e32-a48d-a0a404c52c6e,SberB2B,Подача заявок,2025-12-25,499000.00,strict
purchase:100680663,Sberbank-AST,100680663,100680663,https://sberb2b.ru/request/supplier/preview/4fb04449-feb2-4585-8ce6-e0d40c49a0f1,SberB2B,Подача заявок,2025-12-24,35990.00,strict
purchase:16457469,Sberbank-AST,16457469,16457469,https://sberb2b.ru/request/supplier/preview/0584d524-feb4-4d4c-a460-309d58292726,SberB2B,Завершено,2025-12-23,3200.00,strict
purchase:63260656,Sberbank-AST,63260656,63260656,https://sberb2b.ru/request/supplier/preview/2cbbce99-191b-43cc-99b5-8ada93605bcf,SberB2B,Подача заявок,2025-12-22,115000.00,strict
purchase:47626523,Sberbank-AST,47626523,47626523,https://sberb2b.ru/request/supplier/preview/33a6d0fa-d9f5-44f3-8365-e6a35cba0793,SberB2B,Завершено,2025-12-19,188100.00,strict
purchase:31312397,Sberbank-AST,31312397,31312397,https://sberb2b.ru/request/supplier/preview/9678bda0-c182-4757-a652-f423e37ef724,SberB2B,Завершено,2025-12-18,95000.00,strict
purchase:62136408,Sberbank-AST,62136408,62136408,https://sberb2b.ru/request/supplier/preview/ab20c0f6-575e-490f-b0ad-538b4f6dcead,SberB2B,Подача заявок,2025-12-17,9999.00,strict
purchase:10957568,Sberbank-AST,10957568,10957568,https://sberb2b.ru/request/supplier/preview/64d90781-900b-45a5-a426-335ba23c9ccf,SberB2B,Завершено,2025-12-17,27000.00,strict
purchase:72978467,Sberbank-AST,72978467,72978467,https://sberb2b.ru/request/supplier/preview/7aeba34b-24e4-4362-8938-3aebf5cb167b,SberB2B,Завершено,2025-12-16,5698.00,strict
purchase:132353597,Sberbank-AST,132353597,132353597,https://sberb2b.ru/request/supplier/preview/46cdc1b4-51fd-4123-80be-19041c298562,SberB2B,Завершено,2025-12-15,44000.00,strict
purchase:23953774,Sberbank-AST,23953774,23953774,https://sberb2b.ru/request/supplier/preview/f5ec23da-48f2-4b6d-8bfa-100028227390,SberB2B,Подача заявок,2025-12-10,497600.00,strict
purchase:132451723,Sberbank-AST,132451723,132451723,https://sberb2b.ru/request/supplier/preview/182903cc-a8e2-491f-a17f-6a944a9821f5,SberB2B,Завершено,2025-12-09,73000.00,strict
purchase:25392390,Sberbank-AST,25392390,25392390,https://sberb2b.ru/request/supplier/preview/953c6585-e6b8-4878-95bb-2a2daa0c3f3f,SberB2B,Подача заявок,2025-12-08,499730.00,strict
purchase:30861315,Sberbank-AST,30861315,30861315,https://sberb2b.ru/request/supplier/preview/f87f511c-0488-4a4c-9c94-8126a17e7c53,SberB2B,Подача заявок,2025-12-05,497600.00,strict
purchase:14764022,Sberbank-AST,14764022,14764022,https://sberb2b.ru/request/supplier/preview/5b24744a-e544-433e-886c-424ccf9acffa,SberB2B,Подача заявок,2025-12-05,56800.00,strict
purchase:29403025,Sberbank-AST,29403025,29403025,https://sberb2b.ru/request/supplier/preview/182157b8-cba9-4bc5-9a04-1857d4b63aee,SberB2B,Завершено,2025-12-05,425175.40,strict
purchase:109289440,Sberbank-AST,109289440,109289440,https://sberb2b.ru/request/supplier/preview/67b504cc-6c46-4ec1-b209-2f1551c18564,SberB2B,Завершено,2025-12-05,338783.50,strict
purchase:101879042,Sberbank-AST,101879042,101879042,https://sberb2b.ru/request/supplier/preview/b2d53c52-55ed-48ad-ac7d-94e06b8bae7c,SberB2B,Завершено,2025-12-02,24890.00,strict
purchase:87609565,Sberbank-AST,87609565,87609565,https://sberb2b.ru/request/supplier/preview/c4f3b6aa-492b-48fa-8ff4-ab8c472f3313,SberB2B,Завершено,2025-11-27,217527.00,strict
purchase:51346084,Sberbank-AST,51346084,51346084,https://sberb2b.ru/request/supplier/preview/847c2352-c7fc-4d51-a29d-cda3aca82e27,SberB2B,Подача заявок,2025-11-25,49434.00,strict
purchase:123870997,Sberbank-AST,123870997,123870997,https://sberb2b.ru/request/supplier/preview/75693ea0-ffb9-4a53-bc65-91d2a8bbd884,SberB2B,Завершено,2025-11-14,59840.00,strict
purchase:101473831,Sberbank-AST,101473831,101473831,https://sberb2b.ru/request/supplier/preview/4adb720b-d178-4856-b8ce-7a0119fe380c,SberB2B,Завершено,2025-11-14,454863.75,strict
purchase:53751942,Sberbank-AST,53751942,53751942,https://sberb2b.ru/request/supplier/preview/4d7aa433-c989-45a8-8a4c-2a36c5d57518,SberB2B,Подача заявок,2025-11-13,2111.40,strict
purchase:98707089,Sberbank-AST,98707089,98707089,https://sberb2b.ru/request/supplier/preview/91b9284b-e4eb-4d44-abd7-9e485e415632,SberB2B,Завершено,2025-11-07,52800.00,strict
purchase:60223025,Sberbank-AST,60223025,60223025,https://sberb2b.ru/request/supplier/preview/a851a22f-7716-4a49-b69f-442757df2606,SberB2B,Завершено,2025-11-01,340638.00,strict
purchase:109575881,Sberbank-AST,109575881,109575881,https://sberb2b.ru/request/supplier/preview/48bfb21d-811a-4f37-b722-b1cac704ed08,SberB2B,Завершено,2025-10-31,215000.00,strict
purchase:11651097,Sberbank-AST,11651097,11651097,https://sberb2b.ru/request/supplier/preview/bedd8976-6137-431d-8764-2c132c1db549,SberB2B,Подача заявок,2025-10-30,285890.00,strict
purchase:33982455,Sberbank-AST,33982455,33982455,https://sberb2b.ru/request/supplier/preview/887bd461-4a44-43b6-8921-0cd1d64ce563,SberB2B,Отменено,2025-10-30,364560.00,strict
purchase:41352319,Sberbank-AST,41352319,41352319,https://sberb2b.ru/request/supplier/preview/3d87a5b5-d922-4665-9e7c-5ca2c215d74d,SberB2B,Завершено,2025-10-16,19190.00,strict
purchase:87763708,Sberbank-AST,87763708,87763708,https://sberb2b.ru/request/supplier/preview/b2a96db1-9fd2-40f7-88ea-3d06d1282d30,SberB2B,Завершено,2025-09-18,323526.00,strict
purchase:104641873,Sberbank-AST,104641873,104641873,https://sberb2b.ru/request/supplier/preview/ac61ca45-a53d-4714-9b02-143e6391d729,SberB2B,Завершено,2025-09-15,120826.00,strict
purchase:115798286,Sberbank-AST,115798286,115798286,https://sberb2b.ru/request/supplier/preview/c9370d41-f39f-4f00-8763-[PHONE]ad,SberB2B,Подача заявок,2025-09-04,66125.00,strict
purchase:119540384,Sberbank-AST,119540384,119540384,https://sberb2b.ru/request/supplier/preview/674f83f0-fb38-4b76-b79d-adb4c98e6623,SberB2B,Завершено,2025-09-04,34450.00,strict
purchase:10319775,Sberbank-AST,10319775,10319775,https://sberb2b.ru/request/supplier/preview/d35986d3-5954-4aa6-80c6-3d724ace3e9d,SberB2B,Завершено,2025-08-21,186985.44,strict
purchase:101381336,Sberbank-AST,101381336,101381336,https://sberb2b.ru/request/supplier/preview/fbf05dbf-4858-4ab8-af3d-bfdb873564ec,SberB2B,Завершено,2025-08-06,294767.00,strict
purchase:19386576,Sberbank-AST,19386576,19386576,https://sberb2b.ru/request/supplier/preview/1607126e-f7e3-4713-ad4c-67915b9661dc,SberB2B,Подача заявок,2025-08-04,48640.00,strict
purchase:97150432,Sberbank-AST,97150432,97150432,https://sberb2b.ru/request/supplier/preview/d5a4f374-c8f9-4413-b374-9d5132a728de,SberB2B,Завершено,2025-07-28,73280.00,strict
purchase:57745416,Sberbank-AST,57745416,57745416,https://sberb2b.ru/request/supplier/preview/b40ed263-d141-4c7b-ba3e-6608704ae1d8,SberB2B,Завершено,2025-07-21,32100.00,strict
purchase:19988302,Sberbank-AST,19988302,19988302,https://sberb2b.ru/request/supplier/preview/020f9a57-215a-4dee-a6b7-4c7d7e4ef460,SberB2B,Завершено,2025-07-21,42640.00,strict
purchase:115711835,Sberbank-AST,115711835,115711835,https://sberb2b.ru/request/supplier/preview/5fe1979b-c50e-4f4b-9cf5-83f9ee57b5df,SberB2B,Завершено,2025-07-21,16250.00,strict
purchase:13776416,Sberbank-AST,13776416,13776416,https://sberb2b.ru/request/supplier/preview/4eb0be5c-dfb3-4223-ba6a-4362a325df9f,SberB2B,Завершено,2025-07-18,44800.00,strict
purchase:128012098,Sberbank-AST,128012098,128012098,https://sberb2b.ru/request/supplier/preview/af2213f7-00db-46c3-bffc-e9db84d5c562,SberB2B,Подача заявок,2025-07-18,87738.00,strict
purchase:77000543,Sberbank-AST,77000543,77000543,https://sberb2b.ru/request/supplier/preview/bac92586-403a-420a-b394-d9f8e353c053,SberB2B,Завершено,2025-07-18,16380.00,strict
purchase:25311578,Sberbank-AST,25311578,25311578,https://sberb2b.ru/request/supplier/preview/a81b4934-eec1-42ef-b8c2-f8f2c3f5d155,SberB2B,Завершено,2025-07-14,187000.00,strict
purchase:24631639,Sberbank-AST,24631639,24631639,https://sberb2b.ru/request/supplier/preview/8092519e-c1e9-40a5-8e10-220d4b4dafb3,SberB2B,Завершено,2025-07-14,22750.20,strict
purchase:127115094,Sberbank-AST,127115094,127115094,https://sberb2b.ru/request/supplier/preview/2ad4bcac-23e9-404e-8eb4-2a843dfaef62,SberB2B,Завершено,2025-07-10,388500.00,strict
purchase:75248139,Sberbank-AST,75248139,75248139,https://sberb2b.ru/request/supplier/preview/5f814395-fd83-41de-b062-fbecb657e639,SberB2B,Отменено,2025-07-09,388500.00,strict
purchase:131199457,Sberbank-AST,131199457,131199457,https://sberb2b.ru/request/supplier/preview/3c874ed9-e9fa-44bf-8f5d-24f0edce1726,SberB2B,Завершено,2025-07-09,154128.00,strict
purchase:93118603,Sberbank-AST,93118603,93118603,https://sberb2b.ru/request/supplier/preview/e3fa6316-d17f-42a3-8904-092f94951cc4,SberB2B,Завершено,2025-07-04,15500.00,strict
purchase:81215614,Sberbank-AST,81215614,81215614,https://sberb2b.ru/request/supplier/preview/5a58fa2e-ccff-4eda-b501-87477a1c55f3,SberB2B,Отменено,2025-07-04,15500.00,strict
purchase:73355679,Sberbank-AST,73355679,73355679,https://sberb2b.ru/request/supplier/preview/5e001e55-a03c-442f-b1ff-dc63d4a198d4,SberB2B,Отменено,2025-07-01,136586.00,strict
purchase:1895000000824000001,Sberbank-AST,1895000000824000001,1895000000824000001,https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10184329,Госзакупки по 44-ФЗ,Завершено,2024-12-04,,strict
purchase:34827360,Sberbank-AST,34827360,34827360,https://sberb2b.ru/request/supplier/preview/62e751db-12e0-44ea-8bac-e4ca9a31d736,SberB2B,Завершено,2025-12-25,25000.00,strict
purchase:126654667,Sberbank-AST,126654667,126654667,https://sberb2b.ru/request/supplier/preview/b15575db-8c40-4298-b0b3-def4cfa265bb,SberB2B,Отменено,2025-12-17,60000.00,strict
purchase:102395652,Sberbank-AST,102395652,102395652,https://sberb2b.ru/request/supplier/preview/ef52bc50-6c23-46c7-a2ad-977054a8325a,SberB2B,Завершено,2025-12-15,60000.00,strict
purchase:115938226,Sberbank-AST,115938226,115938226,https://sberb2b.ru/request/supplier/preview/c7de452f-cde4-44b4-8e5a-c17ac53bf7de,SberB2B,Завершено,2025-11-21,65000.00,strict
purchase:SBR028-2510290014.1,Sberbank-AST,SBR028-2510290014.1,SBR028-2510290014.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/21/0/0/3523539,Торги коммерческих заказчиков,Определение победителя,2025-10-29,,strict
purchase:62042036,Sberbank-AST,62042036,62042036,https://sberb2b.ru/request/supplier/preview/87e44817-163c-4f56-94a0-25801dc08a3a,SberB2B,Подача заявок,2025-10-21,22000.00,strict
purchase:39016690,Sberbank-AST,39016690,39016690,https://sberb2b.ru/request/supplier/preview/20c43188-a722-414c-aadf-a3a1953012dc,SberB2B,Завершено,2025-10-20,30000.00,strict
purchase:30384245,Sberbank-AST,30384245,30384245,https://sberb2b.ru/request/supplier/preview/4443db6e-3582-4bfb-bcfd-ab524ac5bcb8,SberB2B,Подача заявок,2025-10-16,10000.00,strict
purchase:21131580,Sberbank-AST,21131580,21131580,https://sberb2b.ru/request/supplier/preview/748b956d-e691-4442-b143-9d4adac1dbfb,SberB2B,Завершено,2025-10-14,95700.00,strict
purchase:SBR028-2510130019.1,Sberbank-AST,SBR028-2510130019.1,SBR028-2510130019.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/3482717,Торги коммерческих заказчиков,Завершено,2025-10-13,6000000.00,strict
purchase:76898671,Sberbank-AST,76898671,76898671,https://sberb2b.ru/request/supplier/preview/4518fea4-543e-4d9a-afd2-176d96cf0066,SberB2B,Завершено,2025-10-07,0.00,strict
purchase:SBR028-2509190035.1,Sberbank-AST,SBR028-2509190035.1,SBR028-2509190035.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/21/0/0/3422335,Торги коммерческих заказчиков,Определение победителя,2025-09-19,,strict
purchase:SBR028-2507290045.1,Sberbank-AST,SBR028-2507290045.1,SBR028-2507290045.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/21/0/0/3291310,Торги коммерческих заказчиков,Завершено,2025-07-29,,strict
purchase:86062518,Sberbank-AST,86062518,86062518,https://sberb2b.ru/request/supplier/preview/ac0e59a8-3658-4805-82bf-14d56c83ab04,SberB2B,Завершено,2025-06-18,54802.50,strict
purchase:35884292,Sberbank-AST,35884292,35884292,https://sberb2b.ru/request/supplier/preview/df9669ac-7346-47e9-ab68-36e5e2067566,SberB2B,Завершено,2025-05-07,61400.00,strict
purchase:93485350,Sberbank-AST,93485350,93485350,https://sberb2b.ru/request/supplier/preview/bedb64bf-de04-495c-8f81-a9cf6e526390,SberB2B,Завершено,2025-04-03,62500.00,strict
purchase:124040848,Sberbank-AST,124040848,124040848,https://sberb2b.ru/request/supplier/preview/c0c29506-1c88-4641-a422-4740b9c25a1b,SberB2B,Завершено,2025-04-03,99000.00,strict
purchase:SBR028-2504010022.1,Sberbank-AST,SBR028-2504010022.1,SBR028-2504010022.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/2932750,Торги коммерческих заказчиков,Завершено,2025-04-01,3600000.00,strict
purchase:77256186,Sberbank-AST,77256186,77256186,https://sberb2b.ru/request/supplier/preview/5e16a952-d540-4990-8b25-e62ce3c362ae,SberB2B,Подача заявок,2025-04-01,23000.00,strict
purchase:105075646,Sberbank-AST,105075646,105075646,https://sberb2b.ru/request/supplier/preview/ad2501ed-cddc-4d13-a4ca-518745275e13,SberB2B,Подача заявок,2025-04-01,44900.00,strict
purchase:101938044,Sberbank-AST,101938044,101938044,https://sberb2b.ru/request/supplier/preview/6887c9f4-543d-4b9a-a0a4-ae88b4d53075,SberB2B,Завершено,2025-03-19,25950.00,strict
purchase:107803731,Sberbank-AST,107803731,107803731,https://sberb2b.ru/request/supplier/preview/7a32fa01-5a98-4a08-b1ea-e9b67624e348,SberB2B,Подача заявок,2025-03-12,26400.00,strict
purchase:114021242,Sberbank-AST,114021242,114021242,https://sberb2b.ru/request/supplier/preview/cf68643c-d20e-4200-b02c-e8ed0dacb3fb,SberB2B,Подача заявок,2025-03-12,72800.00,strict
purchase:114766662,Sberbank-AST,114766662,114766662,https://sberb2b.ru/request/supplier/preview/67cbad9e-ba80-4d54-99bf-911438dbf0da,SberB2B,Завершено,2025-03-10,56179.00,strict
purchase:86398313,Sberbank-AST,86398313,86398313,https://sberb2b.ru/request/supplier/preview/114232f2-10de-49ab-a0d6-4aa93f32f223,SberB2B,Отменено,2025-03-04,54642.00,strict
purchase:SBR028-2502180058.1,Sberbank-AST,SBR028-2502180058.1,SBR028-2502180058.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/2778694,Торги коммерческих заказчиков,Завершено,2025-02-18,500000.00,strict
purchase:SBR028-2501230014.1,Sberbank-AST,SBR028-2501230014.1,SBR028-2501230014.1,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/2703900,Торги коммерческих заказчиков,Завершено,2025-01-23,635400.00,strict
purchase:71936237,Sberbank-AST,71936237,71936237,https://sberb2b.ru/request/supplier/preview/ea4a2401-cd9c-4401-93ec-5bf64447bf6e,SberB2B,Подача заявок,2024-12-17,9330.00,strict
purchase:104092826,Sberbank-AST,104092826,104092826,https://sberb2b.ru/request/supplier/preview/710977e1-fa62-490b-a3ea-25065b74541f,SberB2B,Завершено,2024-11-26,96200.00,strict
purchase:SBR051-2408270001.1,Sberbank-AST,SBR051-2408270001.1,SBR051-2408270001.1,https://utp.sberbank-ast.ru/Retail/NBT/PurchaseView/8/0/0/2251663,Ритейл,Завершено,2024-08-27,,strict
purchase:75891705,Sberbank-AST,75891705,75891705,https://sberb2b.ru/request/supplier/preview/4c5b4e16-64ff-43ef-bce6-a3b6645a4c36,SberB2B,Завершено,2024-05-07,100000.00,strict
purchase:72634325,Sberbank-AST,72634325,72634325,https://sberb2b.ru/request/supplier/preview/0abf7a03-ce71-4dc0-8bc4-16e35fa2dd96,SberB2B,Завершено,2024-05-03,100000.00,strict
purchase:36351993,Sberbank-AST,36351993,36351993,https://sberb2b.ru/request/supplier/preview/adb65324-773c-4104-b5d3-52f9d4d75c76,SberB2B,Завершено,2025-12-30,0.00,strict
purchase:118829005,Sberbank-AST,118829005,118829005,https://sberb2b.ru/request/supplier/preview/f52f3abb-b75e-4b93-ae8b-e22ffc170f87,SberB2B,Завершено,2025-12-30,0.00,strict
purchase:95505294,Sberbank-AST,95505294,95505294,https://sberb2b.ru/request/supplier/preview/6a5b1af1-e41b-46a7-82a9-1d8c98224a95,SberB2B,Отменено,2025-12-29,0.00,strict
purchase:28878666,Sberbank-AST,28878666,28878666,https://sberb2b.ru/request/supplier/preview/3de4f336-0d3d-4ce6-af58-d3eeb91e6347,SberB2B,Завершено,2025-12-25,0.00,strict
purchase:49734908,Sberbank-AST,49734908,49734908,https://sberb2b.ru/request/supplier/preview/9d1652a4-87e5-4bf3-8e59-4c78bb3587a4,SberB2B,Подача заявок,2025-12-24,0.00,strict
purchase:129577135,Sberbank-AST,129577135,129577135,https://sberb2b.ru/request/supplier/preview/a2abc6b9-9998-48a8-adeb-910b9a2d9d4f,SberB2B,Подача заявок,2025-12-18,0.00,strict
purchase:37661500,Sberbank-AST,37661500,37661500,https://sberb2b.ru/request/supplier/preview/c3f758f9-7027-4dfc-89ef-a3ca437a1690,SberB2B,Отменено,2025-12-18,0.00,strict
purchase:86803403,Sberbank-AST,86803403,86803403,https://sberb2b.ru/request/supplier/preview/13701dae-91dc-4582-9aa1-b1eeb4e763d1,SberB2B,Отменено,2025-12-18,0.00,strict
purchase:101471954,Sberbank-AST,101471954,101471954,https://sberb2b.ru/request/supplier/preview/d5754ebe-ec34-4ca0-beea-13ad7e98a688,SberB2B,Отменено,2025-12-15,0.00,strict
purchase:92107339,Sberbank-AST,92107339,92107339,https://sberb2b.ru/request/supplier/preview/9b799711-1ef7-45b6-b09a-66843ee079ed,SberB2B,Подача заявок,2025-12-15,0.00,strict
purchase:811156,Sberbank-AST,811156,811156,https://sberb2b.ru/request/supplier/preview/b3b8c365-f0eb-48ae-8950-467989265792,SberB2B,Подача заявок,2025-12-15,0.00,strict
purchase:108750108,Sberbank-AST,108750108,108750108,https://sberb2b.ru/request/supplier/preview/5241bdc5-b88c-41ee-8a3f-eb2ab28a7944,SberB2B,Подача заявок,2025-12-12,0.00,strict
purchase:57639806,Sberbank-AST,57639806,57639806,https://sberb2b.ru/request/supplier/preview/052004f2-70e4-4e87-8728-c87386ab76b8,SberB2B,Подача заявок,2025-12-10,0.00,strict
purchase:127029165,Sberbank-AST,127029165,127029165,https://sberb2b.ru/request/supplier/preview/b52d6cee-53c2-42fe-8041-15bc548e9afb,SberB2B,Подача заявок,2025-12-09,0.00,strict
purchase:65545588,Sberbank-AST,65545588,65545588,https://sberb2b.ru/request/supplier/preview/5ccc2897-03b9-493f-8d44-269a67be2b42,SberB2B,Подача заявок,2025-12-09,0.00,strict
purchase:9870983,Sberbank-AST,9870983,9870983,https://sberb2b.ru/request/supplier/preview/402ad530-ffdd-4afe-9fcd-044425bc8729,SberB2B,Подача заявок,2025-12-08,0.00,strict
purchase:25918790,Sberbank-AST,25918790,25918790,https://sberb2b.ru/request/supplier/preview/41bac2a7-5cba-47af-951c-fca44da792bd,SberB2B,Отменено,2025-12-08,0.00,strict
purchase:29929425,Sberbank-AST,29929425,29929425,https://sberb2b.ru/request/supplier/preview/d0e44a71-1a39-4b53-900f-51a272a87ad5,SberB2B,Подача заявок,2025-12-08,0.00,strict
purchase:68560845,Sberbank-AST,68560845,68560845,https://sberb2b.ru/request/supplier/preview/53035b23-ca9b-49f0-9890-d5db7ef3b46a,SberB2B,Подача заявок,2025-12-05,0.00,strict
purchase:125109996,Sberbank-AST,125109996,125109996,https://sberb2b.ru/request/supplier/preview/b05cd407-e2f4-488c-8b67-8e[PHONE],SberB2B,Подача заявок,2025-12-05,0.00,strict
purchase:43772956,Sberbank-AST,43772956,43772956,https://sberb2b.ru/request/supplier/preview/04b78746-5f4c-47f2-bce1-719e3268a9dc,SberB2B,Подача заявок,2025-12-04,0.00,strict
purchase:35219832,Sberbank-AST,35219832,35219832,https://sberb2b.ru/request/supplier/preview/d9ec9abb-a5ab-42d2-945d-6b7f1500b306,SberB2B,Подача заявок,2025-12-04,0.00,strict
purchase:16441348,Sberbank-AST,16441348,16441348,https://sberb2b.ru/request/supplier/preview/faa8fb4d-f6bf-4d70-af4e-77578f9b3f8e,SberB2B,Подача заявок,2025-12-03,0.00,strict
