canonical_purchase_id,purchase_number,title,customer_name,customer_inn,customer_kpp,customer_ogrn,relation_to_sber,publication_date,end_date,amount_rub,currency,status,procedure_type,law_or_section,platform_section,region,primary_source,source_count,source_systems,primary_url,sberbank_ast_url,eis_url,link_quality,year,month
purchase:88830046,88830046,Ящики с крышкой и клипсами,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,parent,2025-12-30,2026-01-12,9876.00,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,г Москва,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/a966f02c-0c63-4f15-b60d-c039b3bd51db,https://sberb2b.ru/request/supplier/preview/a966f02c-0c63-4f15-b60d-c039b3bd51db,,single_source,2025,2025-12
purchase:60010033,60010033,Журналы выдачи и приёма ключей от помещений,СИБИРСКИЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-30,2026-01-18,6900.00,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,Новосибирская обл,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/3ff0a0e0-c0f8-4622-9064-0e2bdc08aa34,https://sberb2b.ru/request/supplier/preview/3ff0a0e0-c0f8-4622-9064-0e2bdc08aa34,,single_source,2025,2025-12
purchase:53266154,53266154,Спортивный инвентарь,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,parent,2025-12-29,2026-01-12,497701.19,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,г Москва,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/438cb54c-a46c-42ad-9f38-41922e562f89,https://sberb2b.ru/request/supplier/preview/438cb54c-a46c-42ad-9f38-41922e562f89,,single_source,2025,2025-12
purchase:21389319,21389319,Офисная мебель,СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-28,2025-12-30,499500.00,RUB,Завершено,Запрос предложений в электронной форме,SberB2B,SberB2B,г Санкт-Петербург,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/382f61fb-e3ff-4c34-8f45-cf507021b9cd,https://sberb2b.ru/request/supplier/preview/382f61fb-e3ff-4c34-8f45-cf507021b9cd,,single_source,2025,2025-12
purchase:57759118,57759118,поставка мебельной продукции,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,parent,2025-12-25,2025-12-29,499000.00,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,г Москва,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/0178e53e-41eb-4e32-a48d-a0a404c52c6e,https://sberb2b.ru/request/supplier/preview/0178e53e-41eb-4e32-a48d-a0a404c52c6e,,single_source,2025,2025-12
purchase:100680663,100680663,Аэрохоккей,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,parent,2025-12-24,2025-12-26,35990.00,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,г Москва,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/4fb04449-feb2-4585-8ce6-e0d40c49a0f1,https://sberb2b.ru/request/supplier/preview/4fb04449-feb2-4585-8ce6-e0d40c49a0f1,,single_source,2025,2025-12
purchase:16457469,16457469,"Хоз. инвентарь, инструменты",СИБИРСКИЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-23,2025-12-25,3200.00,RUB,Завершено,Запрос предложений в электронной форме,SberB2B,SberB2B,Новосибирская обл,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/0584d524-feb4-4d4c-a460-309d58292726,https://sberb2b.ru/request/supplier/preview/0584d524-feb4-4d4c-a460-309d58292726,,single_source,2025,2025-12
purchase:63260656,63260656,"Скотч цветной, скотч Pro-CS.",СИБИРСКИЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-22,2025-12-24,115000.00,RUB,Подача заявок,Запрос предложений в электронной форме,SberB2B,SberB2B,Новосибирская обл,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/2cbbce99-191b-43cc-99b5-8ada93605bcf,https://sberb2b.ru/request/supplier/preview/2cbbce99-191b-43cc-99b5-8ada93605bcf,,single_source,2025,2025-12
purchase:47626523,47626523,Комплект мебели для переговорной комнаты,УРАЛЬСКИЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-19,2025-12-23,188100.00,RUB,Завершено,Запрос предложений в электронной форме,SberB2B,SberB2B,Свердловская обл,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/33a6d0fa-d9f5-44f3-8365-e6a35cba0793,https://sberb2b.ru/request/supplier/preview/33a6d0fa-d9f5-44f3-8365-e6a35cba0793,,single_source,2025,2025-12
purchase:31312397,31312397,Спортивный инвентарь,СИБИРСКИЙ БАНК ПАО СБЕРБАНК,7707083893,773601001,1027700132195,parent,2025-12-18,2025-12-22,95000.00,RUB,Завершено,Запрос предложений в электронной форме,SberB2B,SberB2B,Новосибирская обл,Sberbank-AST,1,Sberbank-AST,https://sberb2b.ru/request/supplier/preview/9678bda0-c182-4757-a652-f423e37ef724,https://sberb2b.ru/request/supplier/preview/9678bda0-c182-4757-a652-f423e37ef724,,single_source,2025,2025-12
