anomaly_type,severity,purchase_number,category,metric,amount_rub,description
extreme_amount,high,8012904,logistics_and_facilities,36534.74,65000000.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2510140031.1,other,56207.66,99999999.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2510100053.1,it_and_telecom,31771.88,56526412.96,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2509160031.1,it_and_telecom,104560.91,186025058.33,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2508210056.1,it_and_telecom,87177.05,155097500.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2411020013.1,other,56769.74,101000000.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2410010034.1,other,90207.85,160489600.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2408190016.1,other,28103.49,49999999.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2512080027.1,construction_and_repair,25429.33,45242415.1,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2504250009.1,logistics_and_facilities,68788.55,122382600.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2502050031.1,other,166432.2,296100000.0,Amount is an extreme robust-MAD outlier.
extreme_amount,high,SBR028-2501210072.1,other,132269.61,235321484.96,Amount is an extreme robust-MAD outlier.
cancelled_procedure,medium,33982455,other,,364560.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,75248139,other,,388500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,81215614,other,,15500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,73355679,other,,136586.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,126654667,it_and_telecom,,60000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,86398313,other,,54642.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,95505294,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,37661500,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,86803403,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,101471954,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,25918790,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,101977184,professional_services,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,59304153,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,31786099,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,102938025,other,,0.0,Procedure status contains a cancellation signal.
