rank,purchase_number,amount_rub,customer_name,title,primary_url
1,SBR028-2502050031.1,296100000.0,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""",Запрос предложений в электронной форме по выбору поставщика на Оказание услуг по обслуживанию внешней территории,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2739094
2,SBR028-2501210072.1,235321484.96,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""","Запрос предложений в электронной форме (далее по тексту - Закупка) среди участников, зарегистрированных на электронной торговой площадке АО «Сбербанк-АСТ» (ЭТП) и осуществляющих выполнение работ и оказание услуг по обслуживанию внешней территории Заказчика",https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2698481
3,SBR028-2509160031.1,186025058.33,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""","Поставка и внедрение Программного Комплекса, включающего функциональные модули: PCEF, DPI, TDF для нужд ООО Сбербанк-Телеком",https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/3413508
4,SBR028-2410010034.1,160489600.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Оказание комплекса услуг по проведению приемки-передачи предметов лизинга для нужд ООО «Сбербанк-Телеком»,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2348639
5,SBR028-2508210056.1,155097500.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Поставка аппаратного обеспечения для ООО Сбербанк-Телеком,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/3350017
6,SBR028-2504250009.1,122382600.0,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""","Открытый запрос предложений в электронной форме на оказание услуг физической охраны объектов Корпоративного университета, для нужд АНО ДПО «Корпоративный университет Сбербанка",https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/3021392
7,SBR028-2411020013.1,101000000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Оказание комплекса услуг по проведению приемки-передачи предметов лизинга для нужд ООО «Сбербанк-Телеком»,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2444890
8,SBR028-2510140031.1,99999999.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Поставка и внедрение части компонентов нового биллингового решения BILRND (2-я часть компонентов) для ООО «СБЕРБАНК-ТЕЛЕКОМ»,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/3485637
9,8012904,65000000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""",Оказание услуг по доставке корреспонденции и грузов по территории Российской Федерации,https://sberb2b.ru/request/supplier/preview/e7d25ffd-469b-473c-a94f-fd1f7d05cfc0
10,SBR028-2510100053.1,56526412.96,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Поставка сетевого оборудования (коммутаторы ЦОД) для ООО Сбербанк-Телеком,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/3477662
11,SBR028-2408190016.1,49999999.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",ОКАЗАНИЕ УСЛУГ ПРОВЕДЕНИЯ ИМИДЖЕВОЙ ФОТОСЕССИИ ДЛЯ НУЖД ООО «СБЕРБАНК-ТЕЛЕКОМ»,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2230349
