legal_name,short_name,aliases,inn,kpp,ogrn,relation_to_sber,priority,source,notes
ПАО СБЕРБАНК,Сбербанк,"ПАО СБЕРБАНК|ПАО ""СБЕРБАНК РОССИИ""|ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""|СБЕРБАНК РОССИИ",7707083893,773601001,1027700132195,parent,1,fns_egrul,"Verified through FNS EGRUL public search."
АО СБЕРБАНК-АСТ,Сбербанк-АСТ,"АО СБЕРБАНК-АСТ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""|СБЕРБАНК-АСТ|СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ",7707308480,770401001,1027707000441,subsidiary_or_affiliate,2,fns_egrul,"Verified through FNS EGRUL public search."
ООО СБЕРБАНК-СЕРВИС,Сбербанк-Сервис,"ООО СБЕРБАНК-СЕРВИС|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""|СБЕРБАНК-СЕРВИС",7736663049,771501001,1137746703709,subsidiary_or_affiliate,2,fns_egrul,"Verified through FNS EGRUL public search."
ООО СБЕРБАНК-ТЕЛЕКОМ,Сбербанк-Телеком,"ООО СБЕРБАНК-ТЕЛЕКОМ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""|СБЕРБАНК-ТЕЛЕКОМ|СБЕРМОБАЙЛ",7736264044,773601001,1167746305430,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
АО СБЕРБАНК ЛИЗИНГ,СберЛизинг,"АО СБЕРБАНК ЛИЗИНГ|АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""|СБЕРБАНК ЛИЗИНГ|СБЕРЛИЗИНГ",7707009586,503201001,1027739000728,subsidiary_or_affiliate,3,fns_egrul,"Found through FNS EGRUL while querying Sber entities."
ООО СБЕРБАНК ФАКТОРИНГ,СберФакторинг,"ООО СБЕРБАНК ФАКТОРИНГ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""|СБЕРБАНК ФАКТОРИНГ|СБЕРФАКТОРИНГ",7802754982,771401001,1117847260794,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
ООО СК СБЕРБАНК СТРАХОВАНИЕ,СберСтрахование,"ООО СК СБЕРБАНК СТРАХОВАНИЕ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ""|СБЕРБАНК СТРАХОВАНИЕ|СБЕРСТРАХОВАНИЕ",7706810747,773001001,1147746683479,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
ООО СК СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,СберСтрахование жизни,"ООО СК СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""|СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ|СБЕРСТРАХОВАНИЕ ЖИЗНИ",7744002123,773001001,1037700051146,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
АО НПФ СБЕРБАНКА,НПФ Сбербанка,"АО НПФ СБЕРБАНКА|АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА""|НПФ СБЕРБАНКА|СБЕРНПФ",7725352740,772501001,1147799009160,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
ООО СБЕРЛОГИСТИКА,СберЛогистика,"ООО СБЕРЛОГИСТИКА|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""|СБЕРЛОГИСТИКА",7736322345,775101001,1197746348458,subsidiary_or_affiliate,3,fns_egrul,"Verified through FNS EGRUL public search."
